"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U1003";"DIP-24_W15.24mm_LongPads";1;"DS8212D";;;
2;"C1001";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"100nF";;;
3;"C1002";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"1nF";;;
4;"J1001";"PinSocket_2x17_P2.54mm_Vertical";1;"Conn_02x17_Odd_Even";;;
5;"U1001";"DIP-14_W7.62mm_LongPads";1;"74LS02";;;
6;"U1002";"DIP-14_W7.62mm_LongPads";1;"74LS30";;;
7;"U1004";"DIP-14_W7.62mm_LongPads";1;"7404";;;
